dataset,feature,importance_mean,importance_std
cyber,packet_count,0.013361494504671787,0.009156553299076598
cyber,syn_flag_cnt,0.010549278512873914,0.013901989079851376
cyber,rst_flag_cnt,0.008781402165855138,0.013503588657032118
cyber,byte_count,0.002035403471226891,0.010993103405653269
cyber,fwd_packets,8.530366338243185e-05,0.009893317149693508
cyber,bwd_packets,-0.00266036328492363,0.01004526862168492
cyber,proto,-0.002893312319989766,0.005505486722601197
cyber,mean_pkt_size,-0.005122094385074595,0.009818125441683714
cyber,src_port,-0.007581675267939014,0.01635913250589061
cyber,dst_port,-0.011191094328349258,0.013785213703924814
cyber,flow_duration,-0.011364948449384488,0.008801178206489338
cyber,timestamp,-0.023575101924972797,0.018912401387953304
cyber,dst_ip,-0.03288310184607743,0.014687594003601505
cyber,src_ip,-0.039373926098519134,0.012000150596720962
